2026-06-11 13:49:54 | INFO     | main | ============================================================
2026-06-11 08:53:28 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-11 08:53:28 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-11 08:53:28 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-11 08:53:28 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-11 08:53:28 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-11 08:53:28 | INFO     | main | ============================================================
2026-06-11 08:53:28 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-11 08:53:28 | INFO     | main | ============================================================
2026-06-12 02:49:29 | INFO     | main | ============================================================
2026-06-12 02:49:29 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-12 02:49:29 | INFO     | main | ============================================================
2026-06-12 02:49:29 | INFO     | main | Configuration loaded: sport=football
2026-06-12 02:49:29 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-12 02:49:30 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-12.json
2026-06-12 02:49:30 | INFO     | main | Raw data fetched: 25 rows
2026-06-12 02:49:30 | INFO     | pipeline.processor | Processing football data
2026-06-12 02:49:30 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-12 02:49:30 | INFO     | pipeline.processor | Schema validation passed
2026-06-12 02:49:30 | INFO     | pipeline.processor | Engineered 27 features
2026-06-12 02:49:30 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-12 02:49:30 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-12 02:49:30 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-12.csv
2026-06-12 02:49:30 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-12 02:49:30 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-12 02:49:30 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-12 02:49:31 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-12 02:49:31 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-12 02:49:31 | INFO     | main | ============================================================
2026-06-12 02:49:31 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-12 02:49:31 | INFO     | main | ============================================================
2026-06-13 02:41:52 | INFO     | main | ============================================================
2026-06-13 02:41:52 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-13 02:41:52 | INFO     | main | ============================================================
2026-06-13 02:41:52 | INFO     | main | Configuration loaded: sport=football
2026-06-13 02:41:52 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-13 02:41:55 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-13.json
2026-06-13 02:41:55 | INFO     | main | Raw data fetched: 25 rows
2026-06-13 02:41:55 | INFO     | pipeline.processor | Processing football data
2026-06-13 02:41:55 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-13 02:41:55 | INFO     | pipeline.processor | Schema validation passed
2026-06-13 02:41:55 | INFO     | pipeline.processor | Engineered 27 features
2026-06-13 02:41:55 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-13 02:41:55 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-13 02:41:55 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-13.csv
2026-06-13 02:41:55 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-13 02:41:55 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-13 02:41:55 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-13 02:41:55 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-13 02:41:55 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-13 02:41:55 | INFO     | main | ============================================================
2026-06-13 02:41:55 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-13 02:41:55 | INFO     | main | ============================================================
2026-06-14 02:53:21 | INFO     | main | ============================================================
2026-06-14 02:53:21 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-14 02:53:21 | INFO     | main | ============================================================
2026-06-14 02:53:21 | INFO     | main | Configuration loaded: sport=football
2026-06-14 02:53:21 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-14 02:53:24 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-14.json
2026-06-14 02:53:24 | INFO     | main | Raw data fetched: 25 rows
2026-06-14 02:53:24 | INFO     | pipeline.processor | Processing football data
2026-06-14 02:53:24 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-14 02:53:24 | INFO     | pipeline.processor | Schema validation passed
2026-06-14 02:53:24 | INFO     | pipeline.processor | Engineered 27 features
2026-06-14 02:53:24 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-14 02:53:24 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-14 02:53:24 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-14.csv
2026-06-14 02:53:24 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-14 02:53:24 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-14 02:53:24 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-14 02:53:24 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-14 02:53:24 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-14 02:53:24 | INFO     | main | ============================================================
2026-06-14 02:53:24 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-14 02:53:24 | INFO     | main | ============================================================
2026-06-15 02:58:27 | INFO     | main | ============================================================
2026-06-15 02:58:27 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-15 02:58:27 | INFO     | main | ============================================================
2026-06-15 02:58:27 | INFO     | main | Configuration loaded: sport=football
2026-06-15 02:58:27 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-15 02:58:29 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-15.json
2026-06-15 02:58:29 | INFO     | main | Raw data fetched: 25 rows
2026-06-15 02:58:29 | INFO     | pipeline.processor | Processing football data
2026-06-15 02:58:29 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-15 02:58:29 | INFO     | pipeline.processor | Schema validation passed
2026-06-15 02:58:29 | INFO     | pipeline.processor | Engineered 27 features
2026-06-15 02:58:29 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-15 02:58:29 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-15 02:58:29 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-15.csv
2026-06-15 02:58:29 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-15 02:58:29 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-15 02:58:30 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-15 02:58:30 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-15 02:58:30 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-15 02:58:30 | INFO     | main | ============================================================
2026-06-15 02:58:30 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-15 02:58:30 | INFO     | main | ============================================================
2026-06-16 02:59:19 | INFO     | main | ============================================================
2026-06-16 02:59:19 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-16 02:59:19 | INFO     | main | ============================================================
2026-06-16 02:59:19 | INFO     | main | Configuration loaded: sport=football
2026-06-16 02:59:19 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-16 02:59:23 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-16.json
2026-06-16 02:59:23 | INFO     | main | Raw data fetched: 25 rows
2026-06-16 02:59:23 | INFO     | pipeline.processor | Processing football data
2026-06-16 02:59:23 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-16 02:59:23 | INFO     | pipeline.processor | Schema validation passed
2026-06-16 02:59:23 | INFO     | pipeline.processor | Engineered 27 features
2026-06-16 02:59:23 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-16 02:59:23 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-16 02:59:23 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-16.csv
2026-06-16 02:59:23 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-16 02:59:23 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-16 02:59:23 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-16 02:59:24 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-16 02:59:24 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-16 02:59:24 | INFO     | main | ============================================================
2026-06-16 02:59:24 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-16 02:59:24 | INFO     | main | ============================================================
2026-06-17 02:55:50 | INFO     | main | ============================================================
2026-06-17 02:55:50 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-17 02:55:50 | INFO     | main | ============================================================
2026-06-17 02:55:50 | INFO     | main | Configuration loaded: sport=football
2026-06-17 02:55:50 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-17 02:55:53 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-17.json
2026-06-17 02:55:53 | INFO     | main | Raw data fetched: 25 rows
2026-06-17 02:55:53 | INFO     | pipeline.processor | Processing football data
2026-06-17 02:55:53 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-17 02:55:53 | INFO     | pipeline.processor | Schema validation passed
2026-06-17 02:55:53 | INFO     | pipeline.processor | Engineered 27 features
2026-06-17 02:55:53 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-17 02:55:53 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-17 02:55:53 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-17.csv
2026-06-17 02:55:53 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-17 02:55:53 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-17 02:55:53 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-17 02:55:54 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-17 02:55:54 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-17 02:55:54 | INFO     | main | ============================================================
2026-06-17 02:55:54 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-17 02:55:54 | INFO     | main | ============================================================
2026-06-18 02:51:03 | INFO     | main | ============================================================
2026-06-18 02:51:03 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-18 02:51:03 | INFO     | main | ============================================================
2026-06-18 02:51:03 | INFO     | main | Configuration loaded: sport=football
2026-06-18 02:51:03 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-18 02:51:07 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-18.json
2026-06-18 02:51:07 | INFO     | main | Raw data fetched: 25 rows
2026-06-18 02:51:07 | INFO     | pipeline.processor | Processing football data
2026-06-18 02:51:07 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-18 02:51:07 | INFO     | pipeline.processor | Schema validation passed
2026-06-18 02:51:07 | INFO     | pipeline.processor | Engineered 27 features
2026-06-18 02:51:07 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-18 02:51:07 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-18 02:51:07 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-18.csv
2026-06-18 02:51:07 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-18 02:51:07 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-18 02:51:07 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-18 02:51:07 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-18 02:51:07 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-18 02:51:07 | INFO     | main | ============================================================
2026-06-18 02:51:07 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-18 02:51:07 | INFO     | main | ============================================================
2026-06-19 03:36:53 | INFO     | main | ============================================================
2026-06-19 03:36:53 | INFO     | main |   SPORTS DATA PIPELINE — STARTING RUN
2026-06-19 03:36:53 | INFO     | main | ============================================================
2026-06-19 03:36:53 | INFO     | main | Configuration loaded: sport=football
2026-06-19 03:36:53 | INFO     | pipeline.fetcher | Fetching football data: competition=PL
2026-06-19 03:36:57 | INFO     | pipeline.fetcher | Raw snapshot saved to data/raw/football_raw_2026-06-19.json
2026-06-19 03:36:57 | INFO     | main | Raw data fetched: 25 rows
2026-06-19 03:36:57 | INFO     | pipeline.processor | Processing football data
2026-06-19 03:36:57 | INFO     | pipeline.processor | Duplicates removed: 25 → 20 rows
2026-06-19 03:36:57 | INFO     | pipeline.processor | Schema validation passed
2026-06-19 03:36:57 | INFO     | pipeline.processor | Engineered 27 features
2026-06-19 03:36:57 | INFO     | main | Data processed: 20 rows, 29 features
2026-06-19 03:36:57 | INFO     | pipeline.storage | CSV (latest) saved: data/processed/football_data_latest.csv
2026-06-19 03:36:57 | INFO     | pipeline.storage | CSV (archive) saved: data/processed/football_data_2026-06-19.csv
2026-06-19 03:36:57 | WARNING  | pipeline.storage | Parquet engine (pyarrow/fastparquet) not installed — skipping Parquet output. Install pyarrow to enable: pip install pyarrow
2026-06-19 03:36:57 | INFO     | pipeline.reporter | Chart saved: reports/chart_points_table.png
2026-06-19 03:36:57 | INFO     | pipeline.reporter | Chart saved: reports/chart_attack_defence.png
2026-06-19 03:36:57 | INFO     | pipeline.reporter | Chart saved: reports/chart_pythagorean.png
2026-06-19 03:36:57 | INFO     | pipeline.reporter | HTML report saved: reports/pipeline_report.html
2026-06-19 03:36:57 | INFO     | main | ============================================================
2026-06-19 03:36:57 | INFO     | main |   PIPELINE COMPLETED SUCCESSFULLY
2026-06-19 03:36:57 | INFO     | main | ============================================================
